id,user_type/id,code,company_id/id,type,name,currency_mode,parent_id/id
__export__.account_account_3320000,account.data_account_type_expense,6900000,__export__.res_company_2,Regular,Depreciation,At Date,__export__.account_account_220000
__export__.account_account_2560000,account.account_type_expense_view1,7000000,__export__.res_company_2,View,Salaries and Related Cost,At Date,__export__.account_account_170000
__export__.account_account_2590000,account.data_account_type_expense,7000001,__export__.res_company_2,Regular,Basic Salaries,At Date,__export__.account_account_2560000
__export__.account_account_2600000,account.data_account_type_expense,7000002,__export__.res_company_2,Regular,SSF Contribution,At Date,__export__.account_account_2560000
__export__.account_account_2790000,account.data_account_type_expense,7000003,__export__.res_company_2,Regular,Pension plan ,At Date,__export__.account_account_2560000
__export__.account_account_2800000,account.data_account_type_expense,7000004,__export__.res_company_2,Regular,Staff Training Expense,At Date,__export__.account_account_2560000
__export__.account_account_2810000,account.data_account_type_expense,7000005,__export__.res_company_2,Regular,Educational Support to Staff,At Date,__export__.account_account_2560000
__export__.account_account_2820000,account.data_account_type_expense,7000006,__export__.res_company_2,Regular,Medical Expenses,At Date,__export__.account_account_2560000
__export__.account_account_2830000,account.data_account_type_expense,7000007,__export__.res_company_2,Regular,Meals and Canteen Services,At Date,__export__.account_account_2560000
__export__.account_account_2840000,account.data_account_type_expense,7000008,__export__.res_company_2,Regular,Staff Accomodation and Fuel Rebate ,At Date,__export__.account_account_2560000
__export__.account_account_2850000,account.data_account_type_expense,7000009,__export__.res_company_2,Regular,Other Staff Allowances,At Date,__export__.account_account_2560000
__export__.account_account_2860000,account.data_account_type_expense,7000010,__export__.res_company_2,Regular,Staff Bonus,At Date,__export__.account_account_2560000
__export__.account_account_2570000,account.conf_account_type_tax,8000000,__export__.res_company_2,Regular,Corporate Tax ,At Date,__export__.account_account_170000
