name,type,capacity,departement,location,,,,
Mesin Filling Syrup Ming Pen,,manual,Produksi Syrup,Ruang Syrup 8,,,,
Mesin Filling Vetra Fillomatic,VECT164,,Produksi Syrup,Ruang Syrup 8,,,,
Mixer Tank,,1200 Ltr,Produksi Syrup,Ruang Syrup 8,,,,
Mixing Tank,,950 Ltr,Produksi Syrup,Ruang Syrup 8,,,,
Mixing Tank Berto,,200 Ltr,Produksi Syrup,Ruang Syrup 8,,,,
Motor Pompa Show Pov,,,Produksi Syrup,Ruang Syrup 8,,,,
Stand Mixer Minoga (Tamaru),,,Produksi Syrup,Ruang Syrup 8,,,,
Ultra Thorax Shang Yuh,,,Produksi Syrup,Ruang Syrup 8,,,,
Ultra Thorax Mixer,,,Produksi Syrup,Ruang Syrup 8,,,,
Laminair Air Flow,,,Produksi Syrup,Ruang Timbang,,,,
Print Out Timbangan Mettler Toledo,P26,,Produksi Syrup,Ruang Timbang,,,,
Timbangan Mettler Toledo 30 Kg,IND221,30 Kg,Produksi Syrup,Ruang Timbang,,,,
Timbangan Kern 250,,250,Produksi Syrup,Ruang Timbang,,,,
